Genus	Species	Aggregation_score	B_vitamins	Copies_16S	GC_content	Gene_number	Genome_Mb	Gram_positive	IgA	Length	Motility	Oxygen_tolerance	pH_optimum	Salt_optimum	Temp_optimum	Width	Sporulation
Schaalia	hyovaginalis	NA	NA	NA	63	NA	2.64735	1	NA	NA	NA	2	NA	NA	NA	NA	NA
Schaalia	meyeri	NA	NA	3	65.55	1798	2.03946	1	NA	0.6678293725756554	0	1	NA	NA	NA	-0.35667494393873245	0
Schaalia	naturae	NA	NA	NA	69.8	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA
Schaalia	odontolytica	NA	NA	3	65.6	2074	2.40799	1	NA	NA	0	2.2413793103448274	NA	NA	NA	NA	1
Schaalia	radingae	NA	NA	NA	60	NA	2.43029	1	NA	NA	NA	3	NA	NA	NA	NA	NA
Schaalia	suimastitidis	NA	NA	NA	NA	NA	2.29413	1	NA	NA	0	2.25	NA	NA	NA	NA	1
Schaalia	turicensis	NA	NA	NA	57.4	1687	1.93079	1	NA	NA	0	2.1379310344827585	NA	NA	NA	NA	1
Schaalia	vaccimaxillae	NA	NA	NA	NA	NA	2.33843	1	NA	NA	0	2.5	NA	NA	NA	NA	0.5
Schaedlerella	arabinosiphila	NA	NA	NA	47.9	NA	6.52101	1	NA	1.252762968495368	NA	1	NA	NA	NA	NA	1
Scheffersomyces	parashehatae	0	NA	NA	NA	NA	NA	NA	NA	0.8109302162163288	NA	NA	NA	NA	NA	0.6931471805599453	0
Scheffersomyces	xylosifermentans	0	NA	NA	NA	NA	NA	NA	NA	1.0116009116784799	NA	NA	NA	NA	NA	0.6931471805599453	0
Schinkia	azotoformans	NA	NA	NA	39.8	NA	4.22325	1	NA	1.8718021769015913	1	4.666666666666667	6.5	NA	NA	-0.05129329438755058	0.3333333333333333
Schinkia	oryziterrae	NA	NA	NA	32.68	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA
Schlegelella	aquatica	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Schlegelella	brevitalea	NA	NA	NA	67.5	5611	6.47615	0	NA	NA	1	5	NA	NA	NA	NA	NA
Schlegelella	koreensis	NA	NA	NA	NA	NA	5.57565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Schlegelella	thermodepolymerans	NA	NA	2	70.23333333333333	3663	3.8585	0	NA	NA	NA	5	NA	NA	NA	NA	NA
Schleiferia	thermophila	NA	NA	NA	42.8	NA	2.59901	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Schleiferilactobacillus	harbinensis	NA	NA	NA	53.16	3454.5	3.411254	1	NA	0.9162907318741551	0	3	NA	NA	NA	-0.6931471805599453	1
Schleiferilactobacillus	perolens	NA	NA	NA	51	NA	3.30918	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Schleiferilactobacillus	shenzhenensis	NA	NA	NA	56.1	NA	3.27168	1	NA	1.3217558399823195	0	3	NA	NA	NA	-0.35667494393873245	0
Schlesneria	paludicola	1	NA	NA	56.3	NA	8.70239	0	NA	0.5306282510621704	1	4	5.6	NA	20.5	0.04879016416943205	NA
